PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
15953840,3003,(S)BOLT,3,1036,19,1.96,5.88
17113525,3331,(S)SEAL KIT,1,1040,19,26.13,26.13
8662686,4123,(S)SEAL,1,1055,19,4.83,4.83
95077532,6056,F-(S)RING,9,1081,19,0.51,4.59
14049594,6163,(S)RETAINER,5,1082,19,1.21,6.05
11569637,7347,W-(S)NUT,1,1087,19,2.59,2.59
11561546,7629,RETAINER,7,1088,19,2.23,15.61
15567923,7629,PIN,6,1088,19,0.7,4.2
15176944,7831,PLUG,1,1089,19,5.67,5.67
11516071,8917,(S)NUT,8,1110,19,0.86,6.88
11561761,8981,(S)STUD,1,1121,19,2.52,2.52
95018085,9213,(S)SENSOR,1,1123,19,17.12,17.12
24405739,10056,RETAINER,3,1127,19,2.96,8.88
15916608,10527,(S)CAP,1,1135,19,10.65,10.65
12387540,11374,CLIP,4,1139,19,1.27,5.08
95952916,7006,RAIL,1,W117,19,57,57
22876237,8228,PAD,1,W120,19,28.2,28.2
19170826,15222,TRAY PKG,1,W120,19,70,70
15842642,3685,(S)CONVERTER,1,W124,19,477,477
15229341,3685,F-(S)CONVERTER,1,W125,19,597,597
15876945,12944,LINER,1,W310,19,38.78,38.78
20968547,1274,BRACE,1,W316B,19,112.84,112.84
21013105,0027,(S)STRUT,1,1,18,46.62,46.62
12560272,0056,(S)BOLT,4,2,18,3.14,12.56
97239516,0539,F-(S)BEARING,8,5,18,31.3,250.4
97239518,0539,F-(S)BEARING,2,5,18,29.82,59.64
1995976,2895,(S)SWITCH,1,29,18,35.79,35.79
94011700,3306,(S)GASKET,4,33,18,10.47,41.88
1997272,3670,F-(S)SOLENOID,1,36,18,22.94,22.94
89058397,3890,(S)FILTER,1,42,18,7.74,7.74
92189630,4104,F-(S)VALVE,8,44,18,10.24,81.92
11547210,8309,CLIP,6,67,18,2.3,13.8
12338153,8967,(S)RIVET,23,70,18,0.93,21.39
12205116,9649,KNOB,1,75,18,15.13,15.13
25906375,9786,(S)FILTER,2,76,18,25.04,50.08
15976060,16120,F-ASHTRAY,1,84,18,29.6,29.6
15161390,16181,LATCH ASM,1,85,18,4.87,4.87
15950842,16714,F-COVER,1,86,18,9.87,9.87
92225818,1272,F-BAFFLE,1,708,18,16.4,16.4
12650979,1426,(S)PAN,1,708,18,55.48,55.48
19211691,5002,(S)SHIELD,1,760,18,39.3,39.3
10301860,7800,F-FRAME,1,785,18,21.22,21.22
22990243,7833,DEFLECTOR,1,793,18,13.86,13.86
19256391,10154,(S)CONTAINER KIT,1,820,18,37.91,37.91
22914039,14865,COIL,8,837,18,89.7,717.6
22785448,16155,ARMREST,1,855,18,80.59,80.59
25923437,16480,(S)MOTOR,1,864,18,155.79,155.79
21006787,0553,F-(S)BOLT,1,1007,18,2.74,2.74
25533913,1550,(S)GASKET,3,1022,18,1.11,3.33
94040323,3162,(S)GASKET,7,1037,18,2.52,17.64
22642474,4081,F-(S)BOLT,8,1054,18,0.9,7.2
89040281,4128,(S)CONNECTOR,2,1056,18,25.32,50.64
11609738,8921,(S)RETAINER,9,1113,18,2.51,22.59
10180421,8977,F-(S)BOLT,2,1119,18,0.9,1.8
9436789,8991,(S)BULB,9,1121,18,1.38,12.42
