PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
25865204,7831,BRACKET,1,64,10,18.72,18.72
25869662,1274,BRACE,2,W316B,13,78.93,157.86
25871613,7831,BAR,1,W107,11,329.59,329.59
25872803,6020,(S)KNUCKLE,1,770,9,86.63,86.63
25874911,16110,LATCH,1,84,10,6.91,6.91
25875709,7395,(S)MOUNT,1,783,12,71.38,71.38
25876715,16068,MIRROR,1,850,9,77.74,77.74
25890532,8846,(S)HOSE,1,68,10,14.08,14.08
25893515,16068,GLASS,1,851,11,71.81,71.81
25896694,2726,BRACKET,1,27,20,12.13,12.13
25897912,16346,COVER,1,1170,9,12.76,12.76
25903601,7482,(S)TUBE,1,784,29,49.88,49.88
25911767,10147,(S)ARM,1,819,13,32.83,32.83
25920062,7345,W-(S)STRUT,1,782,10,93.07,93.07
25920063,7345,W-(S)STRUT,1,782,10,93.07,93.07
25920443,7831,FASCIA,1,W307,9,260.56,260.56
25922402,9278,(S)KNOB,1,74,9,4.14,4.14
25927470,10694,(S)WEATHERSTRIP,1,827,21,58.8,58.8
25938078,8130,FENDER,1,W103,10,345.74,345.74
25945700,7680,CYLINDER,1,1088,11,81.66,81.66
25947195,10185,MIRROR,1,824,11,86.93,86.93
25954546,10203,SUNSHADE,1,825,11,41.7,41.7
25955129,7831,FASCIA,1,W307,10,208.7,208.7
25957909,16350,(S)HANDLE,1,,14,20.5,20.5
25959021,12181,GATE,1,W123,9,449.53,449.53
25962116,7833,SHIELD,1,65,26,4.39,4.39
25966963,16712,COIL,1,86,11,89.7,89.7
25971274,10203,SUNSHADE,1,825,9,89.7,89.7
25973040,17507,DECAL,1,87,10,34.43,34.43
25984567,10219,SUPPORT,1,,49,5.24,5.24
25984679,6170,(S)BUSHING,2,59,12,13.59,27.18
25992290,7831,INSERT,1,789,20,61.82,61.82
25992461,12187,(S)STRUT,1,834,10,22.62,22.62
26019404,2187,(S)KEY,1,KEY,11,17,17
26019660,2459,(S)SWITCH,1,22,12,35.5,35.5
26061475,5555,F-(S)YOKE,1,699,10,93.2,93.2
26068934,6635,(S)RESERVOIR KIT,1,778,10,46.63,46.63
26069514,6514,(S)LEVER,1,1085,10,9.71,9.71
26091246,4004,(S)CONTROL,1,748,11,119.13,119.13
26095470,6624,(S)VALVE,1,1085,14,18.76,18.76
26110836,6508,(S)REMANUFACTURED GEAR,1,775,9,420,420
29535520,4105,F-(S)BOLT,10,44,11,2.36,23.6
29540479,4054,(S)SWITCH KIT,1,44,11,126.79,126.79
29541896,4265,(S)VALVE,1,1058,12,86.36,86.36
55351456,423,(S)GASKET,1,4,9,20.44,20.44
55354071,1550,(S)SEAL,1,13,13,9.54,9.54
55562350,3130,(S)VALVE,1,733,10,69.28,69.28
55566665,3336,(S)GASKET,1,1041,18,6.98,6.98
88860737,8800,PAINT,1,67,12,7.4,7.4
88865258,,91PS,1,236,10,98.54,98.54
88913428,7412,(S)SPRING SET,2,784,9,78.76,157.52
88913677,7503,(S)SPRING SET,2,784,9,51.63,103.26
88937047,7831,FASCIA,1,W307,9,263.7,263.7
88938462,7875,PAD,1,800,10,25.25,25.25
88953146,2679,(S)CONNECTOR,1,26,9,50.15,50.15
88955198,16714,BELT KIT,1,872,9,57,57
88963627,6635,(S)RESERVOIR KIT,1,61,23,47.58,47.58
88965467,7345,W-(S)STRUT,1,784,11,186.57,186.57
88965717,5045,(S)PLATE KIT,1,761,11,94.29,94.29
88965719,4710,(S)SENSOR KIT,1,53,11,131.94,131.94
88967140,4053,(S)SOLENOID,1,44,12,55.68,55.68
88979479,16716,PAD,1,W119,10,96.77,96.77
88979829,17507,MOLDING,1,MLDG,11,62.14,62.14
88980997,10470,LATCH,1,826,10,83.81,83.81
88982517,5422,(S)BEARING,1,54,11,50.44,50.44
88982623,4665,(S)PIN KIT,1,1065,11,24.79,24.79
88982626,4665,(S)BRACKET,1,753,11,41.76,41.76
88984501,4515,(S)SEAL,1,51,10,18.7,18.7
88986007,16650,LATCH,1,1173,10,15.92,15.92
89018220,423,(S)GASKET KIT,2,252,10,55.7,111.4
89018230,9215,(S)RESISTOR,1,72,9,23.63,23.63
89018356,9280,(S)ACTUATOR,1,75,9,48.19,48.19
89018691,1064,(S)BLADE KIT,2,702,9,29.27,58.54
89019357,9170,W-(S)COMPRESSOR,1,813,10,272.92,272.92
89025523,16150,DOOR,1,W114    INSPECT,10,417,417
89039093,16682,HANDLE,2,86,16,10.58,21.16
89060253,7395,(S)MOUNT,1,783,10,59.96,59.96
89060639,3107,W-(S)SENDER,1,731,11,308.47,308.47
90322669,213,(S)SEAL,2,1002,9,18.86,37.72
