PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
15882778,4680,(S)HOSE,1,756,11,24.59,24.59
15882779,4680,(S)HOSE,1,756,11,24.13,24.13
15882780,4680,(S)HOSE,1,756,11,24.76,24.76
15882902,16800,COVER,1,87,12,24.89,24.89
15886198,16068,GLASS,1,845,9,68.89,68.89
15886277,2560,(S)MODULE,1,24,10,142.93,142.93
15890880,7831,FASCIA,1,W308,26,104.02,104.02
15893516,10056,CLIP,1,1128,9,3.37,3.37
15900023,3682,(S)SENSOR,1,39,9,85.52,85.52
15908046,16480,(S)ARM,1,867,10,19.45,19.45
15908178,1240,(S)TANK,1,703,11,36.09,36.09
15915521,1272,BAFFLE,1,707,9,39.05,39.05
15923988,9220,(S)TUBE,1,W120,10,90.83,90.83
15925802,7482,(S)TUBE,1,260,29,65.88,65.88
15933016,16068,MIRROR KIT,1,845,11,70.26,70.26
15935732,29,(S)BRACKET,1,,16,28.05,28.05
15937996,16068,MIRROR,1,845,11,85.27,85.27
15941077,4779,(S)CABLE,1,757,10,22.94,22.94
15941431,1272,F-BAFFLE,1,707,10,16.4,16.4
15941432,1272,DISCONTINUED 01/2015,1,707,10,16.4,16.4
15950343,17507,MOLDING KIT,2,MLDG,13,149.68,299.36
15952670,4720,(S)MODULE,1,54,12,227.25,227.25
15984154,9795,(S)VALVE,1,76,9,41.97,41.97
16229053,9278,(S)KNOB,2,74,11,15.95,31.9
16524537,2737,BRACKET,1,28,46,65.06,65.06
16524538,2737,BRACKET,2,28,11,58.8,117.6
16524656,2727,RETAINER,4,1033,10,8.35,33.4
16636182,17204,F-(S)HANDLE,1,87,10,21.2,21.2
16637320,16330,LOCK,1,85,11,134.76,134.76
16640848,12243,(S)ACTUATOR,1,83,10,31.62,31.62
17113205,3331,(S)SEAL KIT,1,1040,9,20.55,20.55
17804576,4115,(S)REMANUFACTURED CONVERTER,1,225,9,316.41,316.41
18040103,4665,(S)BOLT,1,53,11,18.1,18.1
19108018,5017,(S)PAD KIT,1,227,11,43,43
19108019,5017,(S)PAD KIT,1,227,10,43,43
19116641,9665,SPEAKER,1,817,9,21.21,21.21
19120933,16065,(S)NOZZLE,1,1160,10,17.83,17.83
19121293,3107,(S)SENSOR KIT,1,724,15,79.75,79.75
19121637,3107,(S)SENSOR KIT,1,30,10,102.46,102.46
19122332,7345,W-(S)STRUT KIT,1,781,10,111.55,111.55
19122333,7345,W-(S)STRUT KIT,1,781,10,111.55,111.55
19133370,4667,(S)CYLINDER KIT,1,53,10,40.07,40.07
19150977,1050,(S)CLUTCH,1,8,11,102.7,102.7
19151508,2530,F-(S)CONNECTOR,2,23,10,14.26,28.52
19152460,2275,B-(S)REMANUFACTURED GENERATOR,1,710,10,124.6,124.6
19153229,4720,(S)MODULE KIT,1,54,10,132.28,132.28
19153767,2530,F-(S)CONNECTOR,2,23,10,2.25,4.5
19157422,5017,(S)SHOE SET,1,228,10,50,50
19166248,17070,HARDWARE KIT,1,875,10,45.6,45.6
19166596,16800,MAT PKG,2,524D,10,49,98
19167005,2530,F-(S)CONNECTOR,2,23,10,16.46,32.92
19167125,1270,SUPPORT,1,W102,10,297,297
19168844,8130,FENDER,1,W308,10,149.01,149.01
19169336,9226,(S)HOSE,1,816,10,116.84,116.84
19176876,5017,(S)PAD KIT,1,228,10,43,43
19177226,3107,W-(S)MODULE KIT,1,725,10,220.67,220.67
19177348,3107,(S)SENSOR KIT,2,30,9,62.3,124.6
19201290,3407,CLAMP,2,,18,41.4,82.8
19205562,14865,MODULE,2,83,10,250,500
19207492,6508,(S)REMANUFACTURED GEAR KIT,1,524C,11,420,420
19208228,7833,PLATE,1,W120,10,126.12,126.12
19209664,17215,EMBLEM,1,87,9,20.72,20.72
19209792,8965,(S)FUSE,10,245,11,1.08,10.8
19209793,8965,(S)FUSE,10,245,11,1.08,10.8
19209796,8965,(S)FUSE,10,245,11,1.08,10.8
19209812,3682,(S)SENSOR,1,39,10,56.01,56.01
19210848,4128,(S)CONNECTOR,1,1056,9,4.13,4.13
19244092,4563,(S)SWITCH,1,51,12,45.47,45.47
19244841,10783,(S)REGULATOR,1,831,11,67.9,67.9
19253332,5880,U2255517,2,,11,93.51,187.02
19256957,8304,MOLDING,1,W300,9,120.69,120.69
19257096,3107,(S)SENSOR KIT,1,30,10,40.01,40.01
19257101,6508,(S)REMANUFACTURED GEAR,1,524,9,275,275
19257633,13090,F-(S)PROTECTOR,1,1149,9,1.29,1.29
19257893,12112,MOLDING,1,MLDG,9,90.78,90.78
19258178,3107,(S)SENSOR KIT,1,30,11,51.22,51.22
19259215,4115,(S)REMANUFACTURED CONVERTER,1,225,10,276.45,276.45
19259327,3130,(S)CANISTER,1,733,9,77.03,77.03
19260876,539,(S)BEARING,1,5,10,21.59,21.59
19300045,7345,W-(S)ABSORBER KIT,2,781,11,321.84,643.68
19301276,16714,BELT KIT,1,86,11,57,57
19301977,10783,F-(S)REGULATOR,2,830,18,107.91,215.82
19303830,5809,(S)ROTOR,2,765,9,57,114
20759306,2188,(S)CYLINDER KIT,1,16,11,60.06,60.06
20766607,2188,(S)CYLINDER KIT,1,16,10,19.33,19.33
20781543,7068,PLATFORM,1,W117,10,165.24,165.24
20794801,2725,HEADLAMP,1,W117,10,186.11,186.11
20802980,8130,FENDER,1,W308,10,234.19,234.19
20807218,10777,(S)SWITCH,1,81,10,32.41,32.41
20808029,2485,(S)SWITCH,1,22,9,27.75,27.75
20809978,16068,MIRROR,1,847,9,61.84,61.84
20814972,7831,BAR,1,W107,9,299.33,299.33
20828695,1540,(S)HOSE,1,620,10,52.2,52.2
20832044,4591,(S)LEVER,1,754,11,36.59,36.59
20832808,7831,FASCIA,1,W307,9,225,225
20840411,7836,SUPPORT,1,796,10,16,16
20856305,4720,HARNESS,1,756,10,16.6,16.6
20869233,6168,(S)ARM,1,772,10,140.57,140.57
20872157,4665,(S)CALIPER,2,755,12,76.16,152.32
20882859,3028,(S)CAP,1,30,9,11.29,11.29
20899966,7068,BAR,1,W117,11,143.91,143.91
20907279,10153,(S)PUMP KIT,1,78,11,16.79,16.79
20908127,7831,SENSOR KIT,5,1089,9,119.7,598.5
20913315,10159,(S)FRAME,1,821,9,50.91,50.91
20917050,1240,(S)RESERVOIR,1,703,10,14.04,14.04
20930846,5416,(S)ROD,1,761,10,57.82,57.82
20935081,16480,(S)ARM,1,85,10,22.51,22.51
20938121,4710,(S)SENSOR,1,53,11,36.15,36.15
20941961,3120,(S)HOSE,1,731,11,24.04,24.04
20971944,12182,PLATE,1,82,10,4.62,4.62
20972760,1055,(S)FAN,1,W119,10,249.13,249.13
21005846,4047,(S)CABLE,1,749,9,128.07,128.07
21009421,3670,(S)VALVE KIT,1,37,9,173.44,173.44
21019273,9744,BULB,1,76,11,2.58,2.58
21024706,3682,(S)SENSOR,1,1050,10,28.87,28.87
21992748,3162,(S)RETAINER,1,1037,10,3.06,3.06
22166979,7420,(S)SEAT,1,63,12,31.88,31.88
22189840,7371,W-(S)SHIELD,1,62,12,31.22,31.22
22515965,3112,(S)SEAL,1,1037,11,6.56,6.56
22601896,11950,(S)SWITCH,1,1140,12,6.64,6.64
22605203,4047,(S)CABLE,2,750,10,50.01,100.02
22624648,4081,(S)MOUNT,1,44,10,46.6,46.6
22625273,2447,(S)SWITCH,1,22,26,5.18,5.18
22632794,5382,(S)ARM,1,761,12,81.76,81.76
22652359,7831,BAR,1,W117,9,139.43,139.43
22660578,1274,BRACKET,1,708,10,41.33,41.33
22688449,4651,(S)CAP,1,1064,11,20.51,20.51
22689606,8000,HOOD,1,W123,9,384.91,384.91
22692415,1270,BRACKET,1,12,12,14.21,14.21
22695015,10153,(S)PUMP KIT,1,78,12,19.04,19.04
22702139,10783,(S)MOTOR,1,81,34,122.36,122.36
22706008,10777,(S)SWITCH,1,81,11,68.36,68.36
22707166,7345,W-(S)STRUT KIT,1,782,11,119.82,119.82
22707167,7345,W-(S)STRUT KIT,1,782,11,119.82,119.82
